model,term,estimate,std_error,ci_95_low,ci_95_high,t_value,p_value
adjusted_crp,Intercept,24.649849620229055,5.143939213615503,14.510573127549398,34.78912611290871,4.792018061757674,3.085706417888537e-06
adjusted_crp,treatment,-5.05312508141396,0.20893725516896203,-5.46496365722222,-4.6412865056056996,-24.184892623996763,3.892755486486433e-63
adjusted_crp,baseline_score,0.4753592088858442,0.06184613726289887,0.3534535914841176,0.5972648262875708,7.686158423527113,5.412726371192004e-13
adjusted_crp,age,0.09618512311007141,0.0166199563940009,0.06342533996002692,0.1289449062601159,5.78732704405832,2.5207070594988872e-08
adjusted_crp,crp_baseline,1.7029039478412138,0.41965483077351334,0.8757175865718609,2.530090309110567,4.05786809293342,6.941495128613745e-05
adjusted_crp,sex_M,1.6568419954847957,0.3583977410133452,0.9504001734532401,2.3632838175163515,4.622914170162423,6.540419746703006e-06
adjusted_crp,site_B,1.2198916149509056,0.2630131212347286,0.7014634907726631,1.738319739129148,4.638139759811457,6.117673657535952e-06
adjusted_crp,site_C,1.3196694935072526,0.40519373363983674,0.5209875635962141,2.118351423418291,3.256885247589399,0.001309753179402593
interaction_high_crp,Intercept,42.86289644640937,3.2645686385598216,36.42789664446326,49.297896248355485,13.129727443965926,3.0446347493839507e-29
interaction_high_crp,treatment,-4.241193465748741,0.3635462042477882,-4.957802614259346,-3.5245843172381357,-11.666174522504436,1.2217956426198482e-24
interaction_high_crp,high_crp,0.7125696178562493,0.4083132525146207,-0.09228271945674082,1.5174219551692394,1.745154274243729,0.082400149277776
interaction_high_crp,baseline_score,0.28345624691460575,0.057275842221352825,0.17055617521836516,0.3963563186108463,4.948966892867991,1.514351467566545e-06
interaction_high_crp,age,0.14402007492229685,0.015807903639774985,0.11286010616268419,0.1751800436819095,9.110637197959722,6.131721106955188e-17
interaction_high_crp,treatment:high_crp,-1.2345817966824169,0.4485719293923214,-2.118790583933278,-0.3503730094315557,-2.7522493401557693,0.006429187653722468
interaction_high_crp,sex_M,2.6683662401839587,0.3310865029221666,2.015740482659353,3.3209919977085645,8.059423191924107,5.442432056156963e-14
interaction_high_crp,site_B,1.418409809713814,0.2651383245610042,0.8957787196868422,1.941040899740786,5.349697415725578,2.267106688624365e-07
interaction_high_crp,site_C,2.5171770962126403,0.33313497151479127,1.8605134713777467,3.173840721047534,7.556027770866671,1.212356258008981e-12
